Ad_Id,House_Type,Bedrooms,Bathrooms,Hydro,Heat,Water,Parking,Pet_Friendly,Air_Conditioning,Smoking,Laundry,Dishwasher,Fridge,Furnished,Gym,Pool,24_Hour_Security,Bicycle_Parking,Storage_Space,Elevator_in_Building,Personal_Outdoor_Space,Agreement,Region,Size,Rent
Ad ID 1516263804,Apartment,1,1,No,Yes,Yes,1,No,No,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,600,1095
Ad ID 1517924676,Apartment,2,1,No,Yes,Yes,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,904,1179
Ad ID 1520103799,House,3,2,No,No,No,2,Yes,Yes,Outdoors only,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,1500,1800
Ad ID 1520176756,Duplex/Triplex,1 + Den,1,No,Yes,Yes,1,Limited,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,500,850
Ad ID 1520496705,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,683,1185
Ad ID 1521270580,Apartment,2,2,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Not Included,No,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,940,1480
Ad ID 1521469122,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,815,1169
Ad ID 1521669572,Condo,2 + Den,2,No,No,No,1,No,Yes,No,Laundry (In Unit),Not Included,Not Included,No,Yes,Not Included,Not Included,Not Included,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1062,2200
Ad ID 1521865850,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,620,1079
Ad ID 1523219125,Apartment,1,1,No,No,No,1,Limited,Yes,No,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,650,
Ad ID 1523220787,Apartment,1,1,No,No,No,1,No,Yes,No,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,650,
Ad ID 1523412656,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Yes,Not Included,Yes,Balcony,1 Year,Windsor University South Cameron,500,1119
Ad ID 1524495492,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,857,1229
Ad ID 1525965234,Duplex/Triplex,4,1,Yes,Yes,Yes,0,Limited,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor Sandwich Ojibway West Malden,,1750
Ad ID 1525965296,Duplex/Triplex,3,1,No,No,Yes,0,Limited,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,,1550
Ad ID 1525969844,Apartment,2,1,No,No,Yes,1,Limited,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor Sandwich Ojibway West Malden,,1150
Ad ID 1525971453,Basement,1 + Den,1,Yes,Yes,Yes,0,Limited,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South East Malden,,1200
Ad ID 1525971458,Duplex/Triplex,1 + Den,1,No,No,Yes,1,Limited,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,,1200
Ad ID 1525971463,Duplex/Triplex,1,1,No,No,Yes,1,Limited,No,No,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,,1100
Ad ID 1526159920,Apartment,2,1,No,No,Yes,1,Limited,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Sandwich Ojibway West Malden,,1150
Ad ID 1527193153,Apartment,Bachelor/Studio,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor University South Cameron,350,929
Ad ID 1527465209,Apartment,1,1,No,Yes,Yes,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,535,1225
Ad ID 1528066206,Apartment,2,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor Riverside,,1799
Ad ID 1528267769,Apartment,2,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,,1849
Ad ID 1530948055,Apartment,Bachelor/Studio,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,424,979
Ad ID 1531491555,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Yes,Not Included,Yes,Balcony,1 Year,Windsor University South Cameron,750,1259
Ad ID 1531491556,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Yes,Not Included,Yes,Balcony,1 Year,Windsor University South Cameron,500,1099
Ad ID 1532586208,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,668,1129
Ad ID 1533366868,Condo,2,2,No,No,Yes,2,Limited,Yes,Outdoors only,Laundry (In Unit),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor East East Walkerville,1425,2980
Ad ID 1533538562,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Yes,Not Included,Yes,Not Included,1 Year,Windsor City Centre NW Walkerville,,1069
Ad ID 1533670662,Apartment,1,1,No,Yes,Yes,0,Limited,No,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,400,950
Ad ID 1533747802,Apartment,3,1,No,Yes,Yes,0,No,No,No,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South Central West Walkerville Remington P,1,975
Ad ID 1533903275,Apartment,3,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,1454,1599
Ad ID 1534176866,Apartment,Bachelor/Studio,1,No,Yes,Yes,0,Yes,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South Central West Walkerville Remington P,400,650
Ad ID 1534539091,House,2,1,Yes,Yes,Yes,0,No,Yes,No,Laundry (In Building),Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1000,600
Ad ID 1534606646,House,4,2,Yes,Yes,Yes,0,No,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor Sandwich Ojibway West Malden,2465,
Ad ID 1534917108,Apartment,2,2,Yes,Yes,Yes,1,Yes,Yes,Outdoors only,Laundry (In Unit),Yes,Yes,No,Yes,Not Included,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,950,
Ad ID 1535101264,Apartment,3,1,Yes,Yes,Yes,3,No,No,No,Laundry (In Unit),Not Included,Not Included,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,1 Year,Windsor University South Cameron,900,1200
Ad ID 1535172387,Apartment,Bachelor/Studio,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor East East Walkerville,432,1030
Ad ID 1536420581,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Riverside,,1439
Ad ID 1538108537,Duplex/Triplex,2,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Unit),Yes,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor University South Cameron,900,1800
Ad ID 1538221831,Condo,2,2,No,No,Yes,1,No,Yes,No,Laundry (In Unit),Yes,Yes,No,Yes,Not Included,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1100,2175
Ad ID 1538268439,Apartment,2,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Yes,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,976,1359
Ad ID 1538362358,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Not Included,No,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,542,1210
Ad ID 1538948872,Condo,2,1,No,Yes,Yes,3,No,Yes,No,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Yes,Yes,Not Included,1 Year,Windsor East East Walkerville,1200,1950
Ad ID 1539013640,House,2 + Den,1,No,No,No,3,Limited,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor South Central West Walkerville Remington P,1200,1050
Ad ID 1539238473,Apartment,1,1,No,No,Yes,0,No,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Yes,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,700,1050
Ad ID 1539342325,House,2 + Den,1,Yes,Yes,Yes,1,No,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor City Centre NW Walkerville,900,1700
Ad ID 1539390695,Apartment,1,1,No,Yes,Yes,0,Yes,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,508,1150
Ad ID 1539469011,House,5+,2,No,No,No,0,Limited,Yes,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Central West Walkerville Remington P,1800,2200
Ad ID 1539471753,Apartment,2,1,Yes,Yes,Yes,1,No,No,No,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1000,900
Ad ID 1539479405,Apartment,1,1,No,Yes,Yes,0,Yes,No,Yes,Laundry (In Building),Yes,Yes,No,Yes,Yes,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor South Central West Walkerville Remington P,,1475
Ad ID 1539850006,Apartment,Bachelor/Studio,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor Sandwich Ojibway West Malden,130,
Ad ID 1540014615,Condo,2,2,No,No,Yes,1,Yes,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1000,1680
Ad ID 1540103393,Apartment,2,1,No,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,720,1195
Ad ID 1540152199,Apartment,1,1,Yes,Yes,Yes,0,Yes,No,Outdoors only,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor South Central West Walkerville Remington P,1,1150
Ad ID 1540263331,Apartment,1,1,No,Yes,Yes,1,Limited,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,600,995
Ad ID 1540264047,Apartment,2,1,Yes,Yes,Yes,1,Yes,Yes,Yes,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Yes,Yes,Not Included,Yes,Balcony,1 Year,Windsor Riverside,830,1400
Ad ID 1541033420,Apartment,Bachelor/Studio,1,No,Yes,Yes,1,Yes,No,Outdoors only,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South East Malden,600,800
Ad ID 1541144072,House,2,1,Yes,Yes,Yes,0,Yes,Yes,No,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor South Walkerville West Fontainbleu Walker,100,1600
Ad ID 1541214603,House,5+,1,No,No,No,2,Limited,No,Outdoors only,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Sandwich Ojibway West Malden,50,1800
Ad ID 1541215736,Townhouse,2,1,No,No,Yes,2,Limited,Yes,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Sandwich Ojibway West Malden,2200,1300
Ad ID 1541254889,House,3,2,No,No,No,1,Limited,Yes,Outdoors only,Laundry (In Unit),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East East Walkerville,1400,1750
Ad ID 1541267356,Apartment,2,1,No,Yes,Yes,1,Limited,No,Yes,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,900,950
Ad ID 1541287779,House,1,1,No,Yes,Yes,0,No,Yes,Outdoors only,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,700,
Ad ID 1541392433,Apartment,1,1,No,No,No,0,No,Yes,No,Laundry (In Unit)Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor City Centre NW Walkerville,400,900
Ad ID 1541425872,Duplex/Triplex,2,1,Yes,Yes,Yes,1,Limited,No,No,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Balcony,1 Year,Windsor City Centre NW Walkerville,700,1250
Ad ID 1541521612,Condo,2 + Den,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor City Centre NW Walkerville,800,1700
Ad ID 1541587201,Apartment,2,1,No,Yes,Yes,0,Limited,No,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,800,950
Ad ID 1541599658,Condo,2,2,No,No,Yes,1,Limited,Yes,Outdoors only,Laundry (In Unit),Yes,Yes,No,Yes,Not Included,Yes,Yes,Yes,Yes,Balcony,1 Year,Windsor City Centre NW Walkerville,1150,1950
Ad ID 1541626683,Apartment,2,1,No,No,No,1,Yes,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,Yes,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Month-to-month,Windsor University South Cameron,850,1000
Ad ID 1541732122,Duplex/Triplex,3,1,No,No,No,1,No,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,950,1650
Ad ID 1541756954,Basement,1 + Den,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor South Walkerville West Fontainbleu Walker,800,1200
Ad ID 1541760638,Apartment,1,1,No,No,Yes,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,800,1075
Ad ID 1541948679,Duplex/Triplex,4,1,No,No,No,0,No,No,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,1300,1595
Ad ID 1541966298,Condo,1,1,No,No,Yes,1,No,Yes,Yes,Laundry (In Building),Not Included,Yes,No,Yes,Yes,Yes,Yes,Not Included,Yes,Balcony,Month-to-month,Windsor City Centre NW Walkerville,650,1300
Ad ID 1541994567,House,3,2,No,No,No,2,No,Yes,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor Sandwich Ojibway West Malden,1600,
Ad ID 1542189007,Apartment,2,1,No,No,No,0,Yes,No,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor University South Cameron,600,
Ad ID 1542203170,House,4,2,No,No,No,3,No,Yes,Outdoors only,Laundry (In Unit),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor South East Malden,1800,450
Ad ID 1542221266,House,4,2,No,No,No,1,Yes,Yes,Yes,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor University South Cameron,1800,1800
Ad ID 1542250781,House,1,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East East Walkerville,600,925
Ad ID 1542257339,Duplex/Triplex,2,1,No,No,No,0,No,Yes,Outdoors only,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor City Centre NW Walkerville,12,1100
Ad ID 1542378524,Apartment,1,1,Yes,Yes,Yes,0,Limited,Yes,Outdoors only,Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Yes,Balcony,1 Year,Windsor Sandwich Ojibway West Malden,750,1125
Ad ID 1542417477,Basement,2,1,No,No,No,1,No,Yes,No,Not Included,Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor South East Malden,1000,
Ad ID 1542421955,House,1,1,Yes,Yes,Yes,1,Yes,Yes,Yes,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor Sandwich Ojibway West Malden,1,650
Ad ID 1542433079,Townhouse,2,1.5,No,No,No,2,No,Yes,No,Laundry (In Unit)Laundry (In Building),Yes,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor East East Walkerville,1000,1350
Ad ID 1542458809,Apartment,1,1,Yes,Yes,Yes,0,No,No,No,Laundry (In Building),Not Included,Yes,No,Not Included,Not Included,Not Included,Yes,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,800,1300
Ad ID 1542462782,Duplex/Triplex,2,1,Yes,Yes,Yes,1,Limited,Yes,Outdoors only,Laundry (In Building),Not Included,Not Included,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,1 Year,Windsor City Centre NW Walkerville,750,1350
Ad ID 1542474563,Basement,1,1,Yes,Yes,Yes,1,No,Yes,No,Laundry (In Unit),Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,1 Year,Windsor Roseland,900,1100
Ad ID 1542518594,House,5+,2,Yes,Yes,Yes,2,Yes,No,No,Not Included,Not Included,Yes,No,Not Included,Not Included,Not Included,Not Included,Not Included,Not Included,Yard,Month-to-month,Windsor East Forest Glade,3000,2500
